url,course_name,rating,survey_count,Institution,Subject,Level,Associated_skills,price,duration
https://www.edx.org/learn/biology/pontificia-universidad-javeriana-metagenomica-y-sus-principales-aplicaciones,JaverianaX: Metagenómica y sus principales aplicaciones,,,JaverianaX,Biology & Life Sciences,Introductory,"Biology, Research",49,6 weeks
https://www.edx.org/learn/microbiology/ku-leuven-how-to-analyze-a-microbiome,KULeuvenX: How to analyze a microbiome,4.0,8,KULeuvenX,Biology & Life Sciences,Intermediate,Data Analysis,59,7 weeks
https://www.edx.org/learn/biomaterials/university-of-bayreuth-biomaterials-and-biofabrication-design-engineering-and-innovation,"BayreuthX: Biomaterials and Biofabrication: Design, Engineering and Innovation",4.7,19,BayreuthX,Engineering,Introductory,"3D Printing, Additive Manufacturing (3D Printing), Biocompatibility, Biology, Biomaterial, Biomedical Engineering, Ceramics, Chemical Engineering, Curiosity, Innovation, Materials Science, Research, Tissue Engineering, Wound Dressing",129,8 weeks
https://www.edx.org/learn/biomaterials/university-of-hong-kong-digital-biomaterials,HKUx: Digital Biomaterials,,,HKUx,Medicine,Introductory,"3D Printing, Additive Manufacturing (3D Printing), Artificial Intelligence, Biology, Chemistry, Composite Materials, Computer-Aided Technologies, Dental Materials, Materials Science, Oral Health, Orthodontics, Physics",149,4 weeks
https://www.edx.org/learn/biomedical-imaging/ecole-polytechnique-federale-de-lausanne-fundamentals-of-biomedical-imaging-ultrasounds-x-ray-positron-emission-tomography-pet-and-applications,"EPFLx: Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications",4.6,5,EPFLx,Engineering,Advanced,"Biology, Life Sciences, Magnetic Resonance Imaging, Medical Ultrasonography, Physics, Positron Emission Tomography, Tomography, X-Ray Computed Tomography",209,7 weeks
https://www.edx.org/learn/biomedical-imaging/ecole-polytechnique-federale-de-lausanne-fundamentals-of-biomedical-imaging-magnetic-resonance-imaging-mri,EPFLx: Fundamentals of Biomedical Imaging: Magnetic Resonance Imaging (MRI),,,EPFLx,Engineering,Advanced,"Biology, Life Sciences, Magnetic Resonance Imaging, Nuclear Magnetic Resonance, Physics, Spectroscopy",259,6 weeks
https://www.edx.org/learn/biotechnology/massachusetts-institute-of-technology-the-science-and-business-of-biotechnology,MITx: The Science and Business of Biotechnology,4.3,16,MITx,Business & Management,Intermediate,"Antibodies, Biopharmaceuticals, Biotechnology, Business Structures, Capital Budgeting, Cell Biology, Cost Of Capital, Derivatives, Drug Administration, Drug Discovery, Economics, Financial Analysis, Financial Engineering, Human Diseases, Investments, Life Sciences, Mechanics, Modern Portfolio Theory, Monoclonal Antibodies, Nucleic Acids, Pharmaceuticals, Pre-Clinical Development, Sales, Securities (Finance)",49,16 weeks
https://www.edx.org/learn/biology/university-of-british-columbia-biospecimen-research-methods-6,UBCx: Biospecimen Research Methods,4.7,7,UBCx,Biology & Life Sciences,Advanced,"Biology, Life Sciences, Medical Research, Research, Research Methodologies",99,6 weeks
https://www.edx.org/learn/statistics/massachusetts-institute-of-technology-fundamentals-of-statistics,MITx: Fundamentals of Statistics,4.3,158,MITx,Data Analysis & Statistics,Advanced,"Artificial Intelligence, Basic Math, Construction, Data Science, Data Warehousing, Estimators, Forecasting, Linear Regression, Machine Learning, Parametric Modeling, Statistical Hypothesis Testing, Statistical Inference, Statistics",300,17 weeks
https://www.edx.org/learn/statistics/the-london-school-of-economics-and-political-science-statistics-1-part-1-introductory-statistics-probability-and-estimation,"LSE: Statistics 1 Part 1: Introductory statistics, probability and estimation",4.2,29,LSE,Data Analysis & Statistics,Intermediate,"Basic Math, Data Visualization, Economics, Management, Normal Distribution, Probability, Probability Theories, Sampling (Statistics), Social Sciences, Statistical Methods, Statistics",,5 weeks
https://www.edx.org/learn/r-programming/harvard-university-statistics-and-r,HarvardX: Statistics and R,4.1,80,HarvardX,Data Analysis & Statistics,Intermediate,"Bioconductor (Bioinformatics Software), Biology, Confidence Intervals, Data Analysis, Data Warehousing, Descriptive Statistics, Functional Genomics, Life Sciences, Linear Model, Matrix Algebra, R (Programming Language), Software Engineering, Statistical Analysis, Statistical Inference, Statistics",219,4 weeks
https://www.edx.org/learn/python/ibm-introduction-to-statistics-for-data-science-using-python,IBM: Introduction to Statistics for Data Science using Python,,,IBM,Computer Science,Introductory,"Analysis Of Variance (ANOVA), Computer Science, Correlation Analysis, Data Analysis, Data Science, Descriptive Statistics, Jupyter, Probability Distribution, Python (Programming Language), Research, Statistical Analysis, Statistical Hypothesis Testing, Statistical Methods, Statistical Thinking, Statistics",89,4 weeks
