url,course_name,rating,survey_count,Institution,Subject,Level,Language,Associated_skills,price,duration
https://www.edx.org/learn/cloud-computing/the-linux-foundation-introduction-to-cloud-infrastructure-technologies,LinuxFoundationX: Introduction to Cloud Infrastructure Technologies,4.5 stars,18 ratings,LinuxFoundationX,Computer Science,Introductory,English,"Cloud Computing, Cloud Foundry, Cloud Infrastructure, Cloud Security Infrastructure, Cloud Services, Cloud Technologies, Continuous Integration, DevOps, Docker (Software), Kubernetes, Linux, Network Computing, Open Source Technology, Open-Source Software, OpenStack, Operations, Software Defined Networking (SDN), Tooling",$189 USD,14 weeks
https://www.edx.org/learn/physics/delft-university-of-technology-pre-university-physics,DelftX: Pre-University Physics,4.4 stars,27 ratings,,,,,,$50 USD,5 weeks
https://www.edx.org/learn/chemistry/harvard-university-energy-and-thermodynamics,HarvardX: Energy and Thermodynamics,4.3 stars,28 ratings,HarvardX,Chemistry,Introductory,,"Biology, Chemistry, Enthalpy, Heat Transfer, Renewable Energy, Thermal Management, Thermochemistry, Thermodynamics",$249 USD,10 weeks
https://www.edx.org/learn/food-science/harvard-university-science-cooking-from-haute-cuisine-to-soft-matter-science-physics,HarvardX: Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),4.7 stars,23 ratings,HarvardX,Physics,Introductory,,"Baking, Chemistry, Cooking, Experimentation, Physics, Research, Soft Matter",$249 USD,16 weeks
https://www.edx.org/learn/astrophysics/ecole-polytechnique-federale-de-lausanne-introduction-to-astrophysics,EPFLx: Introduction to Astrophysics,3.5 stars,10 ratings,EPFLx,Physics,Introductory,English,"Astrophysics, Forecasting",$179 USD,7 weeks
https://www.edx.org/learn/physics/rice-university-ap-physics-1,RICEx: Topics in AP Physics,4.4 stars,17 ratings,RICEx,Physics,Introductory,English,"Physics, Problem Solving",$49 USD,18 weeks
https://www.edx.org/learn/physics/universitat-politecnica-de-valencia-physics-fundamentals-mechanics,UPValenciaX: Physics Fundamentals: Mechanics,4.6 stars,20 ratings,,,,,,$29 USD,6 weeks
https://www.edx.org/learn/physics/universitat-politecnica-de-valencia-physics-fundamentals-electromagnetics,UPValenciaX: Physics Fundamentals: Electromagnetics,4.5 stars,29 ratings,,,,,,$29 USD,7 weeks
https://www.edx.org/learn/physics/delft-university-of-technology-pre-university-physics,DelftX: Pre-University Physics,4.4 stars,27 ratings,,,,,,$50 USD,5 weeks
https://www.edx.org/learn/chemistry/harvard-university-energy-and-thermodynamics,HarvardX: Energy and Thermodynamics,4.3 stars,28 ratings,HarvardX,Chemistry,Introductory,,"Biology, Chemistry, Enthalpy, Heat Transfer, Renewable Energy, Thermal Management, Thermochemistry, Thermodynamics",$249 USD,10 weeks
https://www.edx.org/learn/food-science/harvard-university-science-cooking-from-haute-cuisine-to-soft-matter-science-physics,HarvardX: Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),4.7 stars,23 ratings,HarvardX,Physics,Introductory,,"Baking, Chemistry, Cooking, Experimentation, Physics, Research, Soft Matter",$249 USD,16 weeks
https://www.edx.org/learn/astrophysics/ecole-polytechnique-federale-de-lausanne-introduction-to-astrophysics,EPFLx: Introduction to Astrophysics,3.5 stars,10 ratings,EPFLx,Physics,Introductory,English,"Astrophysics, Forecasting",$179 USD,7 weeks
https://www.edx.org/learn/physics/rice-university-ap-physics-1,RICEx: Topics in AP Physics,4.4 stars,17 ratings,RICEx,Physics,Introductory,English,"Physics, Problem Solving",$49 USD,18 weeks
